x-coordinate,y-coordinate,class
309.644,76.484,t_shirt
310.288,75.625,t_shirt
310.288,74.766,t_shirt
310.931,73.906,t_shirt
310.931,71.328,t_shirt
311.575,70.469,t_shirt
311.575,69.609,t_shirt
312.863,67.891,t_shirt
312.863,67.031,t_shirt
313.506,66.172,t_shirt
313.506,64.453,t_shirt
314.15,63.594,t_shirt
314.15,62.734,t_shirt
316.081,60.156,t_shirt
316.081,58.438,t_shirt
317.369,56.719,t_shirt
317.369,55.859,t_shirt
318.656,54.141,t_shirt
318.656,53.281,t_shirt
319.3,52.422,t_shirt
319.3,51.563,t_shirt
320.588,49.844,t_shirt
320.588,48.984,t_shirt
321.231,48.125,t_shirt
321.231,46.406,t_shirt
321.875,45.547,t_shirt
321.875,44.688,t_shirt
323.163,42.969,t_shirt
323.163,41.25,t_shirt
323.806,40.391,t_shirt
323.806,38.672,t_shirt
325.738,36.094,t_shirt
326.381,36.094,t_shirt
326.381,35.234,t_shirt
324.45,35.234,t_shirt
323.806,34.375,t_shirt
321.875,34.375,t_shirt
321.231,33.516,t_shirt
319.944,33.516,t_shirt
319.3,32.656,t_shirt
318.656,32.656,t_shirt
318.013,31.797,t_shirt
316.725,31.797,t_shirt
316.081,30.938,t_shirt
305.781,30.938,t_shirt
305.138,30.078,t_shirt
304.494,30.078,t_shirt
303.85,29.219,t_shirt
303.206,29.219,t_shirt
302.563,28.359,t_shirt
301.919,28.359,t_shirt
301.275,27.5,t_shirt
291.619,27.5,t_shirt
289.688,24.922,t_shirt
288.4,24.922,t_shirt
287.756,24.063,t_shirt
279.388,24.063,t_shirt
277.456,21.484,t_shirt
276.813,21.484,t_shirt
276.169,20.625,t_shirt
266.513,20.625,t_shirt
265.225,18.906,t_shirt
247.844,18.047,neck
245.913,20.625,neck
240.763,20.625,neck
238.188,24.063,neck
225.956,24.063,neck
225.313,24.922,neck
224.669,24.922,neck
223.381,26.641,neck
222.738,26.641,neck
222.094,27.5,neck
191.194,27.5,neck
190.55,26.641,neck
189.263,26.641,neck
188.619,27.5,neck
176.388,27.5,neck
175.744,26.641,neck
175.1,26.641,neck
174.456,25.781,neck
173.813,25.781,neck
173.169,24.922,neck
171.881,24.922,neck
171.238,24.063,neck
155.788,24.063,neck
153.856,21.484,neck
153.213,21.484,neck
152.569,20.625,neck
144.2,20.625,neck
144.2,33.516,neck
144.844,34.375,neck
144.844,35.234,neck
146.775,37.813,neck
146.775,38.672,neck
147.419,39.531,neck
147.419,40.391,neck
148.063,40.391,neck
149.35,42.109,neck
149.35,42.969,neck
157.719,54.141,neck
158.363,54.141,neck
159.006,55.0,neck
159.65,55.0,neck
160.938,56.719,neck
161.581,56.719,neck
162.225,57.578,neck
163.513,57.578,neck
165.444,60.156,neck
166.731,60.156,neck
167.375,61.016,neck
168.663,61.016,neck
169.306,61.875,neck
169.95,61.875,neck
170.594,62.734,neck
171.238,62.734,neck
171.881,63.594,neck
172.525,63.594,neck
173.169,64.453,neck
176.388,64.453,neck
177.031,65.313,neck
178.319,65.313,neck
178.963,66.172,neck
179.606,66.172,neck
180.25,67.031,neck
185.4,67.031,neck
186.044,67.891,neck
190.55,67.891,neck
191.194,68.75,neck
216.3,68.75,neck
216.944,67.891,neck
219.519,67.891,neck
220.163,67.031,neck
221.45,67.031,neck
222.094,66.172,neck
222.738,66.172,neck
